,negfood_score,negservice_score,posfood_score,posservice_score,restaurant
0,0.039682539682539,0.063492063492063,0.539682539682539,0.35714285714285700,Mominette
1,0.079365079365079,0.07142857142857100,0.595238095238095,0.253968253968253,Peaches HotHouse
2,0.048780487804878,0.08130081300813000,0.504065040650406,0.365853658536585,Baron's
3,0.049586776859504,0.024793388429752,0.7107438016528920,0.21487603305785100,Lowerline
4,0.032520325203252,0.056910569105691000,0.47154471544715400,0.43902439024390200,Claw Daddy's
5,0.06299212598425100,0.09448818897637700,0.433070866141732,0.409448818897637,Father Knows Best
6,0.046511627906976,0.062015503875968000,0.682170542635658,0.20930232558139500,Red Hook Lobster Pound
7,0.055555555555555000,0.11904761904761900,0.5,0.325396825396825,Uglyduckling
8,0.024793388429752,0.0,0.776859504132231,0.198347107438016,Otis
9,0.0390625,0.0390625,0.4375,0.484375,Sweet Brooklyn Bar And Grill
10,0.024,0.048,0.792,0.136,5ive Spice
11,0.032520325203252,0.056910569105691000,0.6178861788617880,0.292682926829268,Juanchi's Burger
12,0.024390243902439,0.056910569105691000,0.707317073170731,0.21138211382113800,L'Antagoniste
13,0.024193548387096000,0.008064516129032000,0.733870967741935,0.23387096774193500,The Food Sermon Kitchen
14,0.04918032786885200,0.057377049180327,0.475409836065573,0.41803278688524500,Fancy Nancy
15,0.046511627906976,0.03875968992248,0.744186046511627,0.170542635658914,Hometown Bar-B-Que
16,0.024793388429752,0.008264462809917,0.5619834710743800,0.40495867768595,Laojie Hotpot
17,0.047244094488188000,0.141732283464566,0.44881889763779500,0.362204724409448,Milk & Honey Cafe
18,0.039215686274509000,0.10784313725490100,0.539215686274509,0.31372549019607800,Biyou
19,0.032258064516129000,0.08870967741935400,0.5564516129032250,0.32258064516129000,Sweet Chick
20,0.022900763358778,0.083969465648854,0.625954198473282,0.267175572519083,Bonafini
21,0.047619047619047000,0.063492063492063,0.603174603174603,0.28571428571428500,Mayfield
22,0.032258064516129000,0.040322580645161000,0.75,0.17741935483870900,Emily
23,0.07377049180327800,0.024590163934426000,0.7622950819672130,0.139344262295081,Nana Ramen
24,0.07258064516129000,0.024193548387096000,0.661290322580645,0.24193548387096700,Buttermilk Channel
25,0.073170731707317,0.065040650406504,0.674796747967479,0.186991869918699,Pies-n-Thighs
26,0.06153846153846100,0.007692307692307000,0.753846153846153,0.17692307692307600,Hunger Pang
27,0.025210084033613000,0.033613445378151,0.504201680672268,0.43697478991596600,Salem's Hour
28,0.06451612903225800,0.12096774193548300,0.540322580645161,0.27419354838709600,Hard Times Christmas Liquors at the Sunset bar
29,0.032258064516129000,0.053763440860215000,0.6344086021505370,0.27956989247311800,Golda
30,0.015037593984962000,0.06766917293233,0.42857142857142800,0.48872180451127800,Soco
31,0.015873015873015,0.055555555555555000,0.6666666666666660,0.26190476190476100,Sweet Chick 2
32,0.082644628099173,0.033057851239669,0.752066115702479,0.13223140495867700,Bunsmith
33,0.040322580645161000,0.07258064516129000,0.57258064516129,0.314516129032258,The Crabby Shack
34,0.033333333333333,0.058333333333333,0.7583333333333330,0.15,Win Son
35,0.032786885245901,0.024590163934426000,0.663934426229508,0.278688524590163,Juliana's Pizza
36,0.040650406504065000,0.040650406504065000,0.593495934959349,0.32520325203252000,Sunday in Brooklyn
37,0.038461538461538000,0.12307692307692300,0.5923076923076920,0.24615384615384600,Peaches
38,0.08870967741935400,0.05645161290322500,0.5,0.35483870967741900,Moloko
39,0.040983606557377000,0.032786885245901,0.60655737704918,0.319672131147541,Silver Factory
40,0.069767441860465,0.10077519379844900,0.682170542635658,0.147286821705426,Taci's Beyti
41,0.1328125,0.0625,0.6484375,0.15625,El Jeffe
42,0.08064516129032200,0.024193548387096000,0.7741935483870960,0.12096774193548300,Salt + Charcoal
43,0.07563025210084000,0.058823529411764000,0.5714285714285710,0.29411764705882300,Habana Outpost
44,0.0625,0.0625,0.4765625,0.3984375,MangoSeed Restaurant
45,0.08064516129032200,0.048387096774193000,0.693548387096774,0.17741935483870900,Olea
46,0.025210084033613000,0.10924369747899100,0.647058823529411,0.21848739495798300,Calaca
47,0.016,0.096,0.68,0.20800000000000000,Catfish
48,0.040322580645161000,0.040322580645161000,0.596774193548387,0.32258064516129000,Sea Wolf
49,0.047244094488188000,0.06299212598425100,0.6929133858267710,0.19685039370078700,Black Nile
50,0.033057851239669,0.024793388429752,0.7438016528925620,0.198347107438016,Mariella
51,0.038095238095238,0.09523809523809500,0.37142857142857100,0.49523809523809500,LunÀtico
52,0.031578947368421000,0.073684210526315,0.6631578947368420,0.23157894736842100,Bed Stuy Provisions
53,0.047619047619047000,0.063492063492063,0.634920634920634,0.253968253968253,Bogota Latin Bistro
54,0.016666666666666,0.108333333333333,0.525,0.35000000000000000,Cheryl's Global Soul
55,0.072727272727272,0.009090909090909,0.7090909090909090,0.20909090909090900,Lillo Cucina Italiana
56,0.016129032258064000,0.07258064516129000,0.6774193548387090,0.23387096774193500,Miss Ada
57,0.058333333333333,0.075,0.708333333333333,0.15833333333333300,The Brooklyn Tree
58,0.16,0.04,0.656,0.14400000000000000,Little Mo
59,0.07377049180327800,0.024590163934426000,0.663934426229508,0.237704918032786,Mable's Smokehouse & Banquet Hall
60,0.040650406504065000,0.048780487804878,0.764227642276422,0.146341463414634,Peter Luger
61,0.074380165289256,0.074380165289256,0.43801652892561900,0.41322314049586700,The Farm On Adderley
62,0.070866141732283,0.078740157480314,0.629921259842519,0.22047244094488100,Glady's
63,0.0625,0.0625,0.5859375,0.2890625,The Islands
64,0.057377049180327,0.09016393442622900,0.524590163934426,0.32786885245901600,Eugene & Co
65,0.024590163934426000,0.114754098360655,0.40983606557377000,0.45081967213114700,Bijan's
66,0.031746031746031,0.063492063492063,0.555555555555555,0.349206349206349,Cafe Rue Dix
67,0.016949152542372,0.016949152542372,0.7288135593220330,0.23728813559322,Chavela's
68,0.032520325203252,0.008130081300813,0.6829268292682920,0.276422764227642,191 Knickerbocker
69,0.134920634920634,0.103174603174603,0.6666666666666660,0.09523809523809500,Yaso Tangbao
70,0.016129032258064000,0.048387096774193000,0.7177419354838710,0.21774193548387000,Cafe Mogador
71,0.031496062992125000,0.031496062992125000,0.653543307086614,0.283464566929133,Chela Modern Mexican
72,0.107692307692307,0.053846153846153,0.761538461538461,0.07692307692307600,Chuko
73,0.066176470588235,0.227941176470588,0.28676470588235200,0.41911764705882300,Suede
74,0.082644628099173,0.041322314049586,0.6859504132231400,0.190082644628099,Camillo
75,0.040983606557377000,0.114754098360655,0.639344262295082,0.20491803278688500,Peaches Shrimp and Crab
76,0.040322580645161000,0.040322580645161000,0.701612903225806,0.21774193548387000,Puerto Viejo
77,0.025,0.033333333333333,0.7333333333333330,0.208333333333333,Taste of Heaven
78,0.023622047244094000,0.023622047244094000,0.58267716535433,0.37007874015748000,Scottadito Osteria Toscana
79,0.038167938931297,0.015267175572519000,0.755725190839694,0.190839694656488,DeStefano's Steakhouse
80,0.09166666666666600,0.033333333333333,0.775,0.1,Taqueria Milear
81,0.033057851239669,0.049586776859504,0.462809917355371,0.45454545454545400,Greedi Vegan
82,0.097560975609756,0.10569105691056900,0.49593495934959300,0.30081300813008100,Lincoln Station
83,0.016393442622950000,0.016393442622950000,0.770491803278688,0.19672131147540900,Nicandra's
84,0.042372881355932,0.042372881355932,0.703389830508474,0.211864406779661,Okonomi
85,0.081481481481481,0.096296296296296,0.518518518518518,0.30370370370370300,Miriam
86,0.063636363636363,0.027272727272727,0.663636363636363,0.245454545454545,Dar 525
87,0.022727272727272000,0.030303030303030000,0.8106060606060600,0.13636363636363600,El Mate
88,0.032520325203252,0.0,0.918699186991869,0.048780487804878,Baba's Pierogies
89,0.04918032786885200,0.032786885245901,0.6803278688524590,0.237704918032786,Colina Cuervo
90,0.024590163934426000,0.040983606557377000,0.745901639344262,0.18852459016393400,Olmsted
91,0.031496062992125000,0.023622047244094000,0.677165354330708,0.26771653543307,Modern Love Brooklyn
92,0.024,0.088,0.47200000000000000,0.41600000000000000,Clover Club
93,0.024590163934426000,0.032786885245901,0.598360655737704,0.34426229508196700,Pig Beach
94,0.016393442622950000,0.057377049180327,0.5,0.426229508196721,Salud Bar & Grill
95,0.078125,0.0546875,0.6171875,0.25,Barboncino Pizza & Bar
96,0.008,0.112,0.608,0.272,983-Bushwick's Living Room
97,0.048780487804878,0.040650406504065000,0.7560975609756090,0.15447154471544700,Amaranto Mexican Restaurant
98,0.128,0.032,0.68,0.16,Suzy's Roti Parlour
99,0.031746031746031,0.063492063492063,0.6746031746031740,0.23015873015873,Surfish Bistro
100,0.08943089430894300,0.08130081300813000,0.593495934959349,0.23577235772357700,The Market
101,0.048387096774193000,0.07258064516129000,0.7177419354838710,0.16129032258064500,Samurai Papa
102,0.131147540983606,0.09016393442622900,0.5409836065573770,0.237704918032786,Samurai Papa BS
103,0.025,0.05,0.708333333333333,0.216666666666666,Evelina
104,0.079365079365079,0.047619047619047000,0.785714285714285,0.087301587301587,Peri Peri Grill House
105,0.070866141732283,0.023622047244094000,0.7401574803149600,0.165354330708661,Thai Holic
106,0.040983606557377000,0.07377049180327800,0.6475409836065570,0.237704918032786,Seed
107,0.027777777777777000,0.009259259259259,0.74074074074074,0.22222222222222200,Forma Pasta Factory
108,0.039682539682539,0.21428571428571400,0.42063492063492000,0.325396825396825,Shaking Crab- Brooklyn
109,0.07142857142857100,0.079365079365079,0.698412698412698,0.15079365079365,Klom Klorm
110,0.07377049180327800,0.057377049180327,0.704918032786885,0.16393442622950800,Cafe Tibet
111,0.048387096774193000,0.032258064516129000,0.637096774193548,0.282258064516129,Dekalb Market Hall
112,0.040650406504065000,0.10569105691056900,0.536585365853658,0.31707317073170700,Tom's
113,0.048,0.088,0.488,0.376,Mekelburg's
114,0.08064516129032200,0.06451612903225800,0.6209677419354830,0.23387096774193500,Izzy's Brooklyn Smokehouse
115,0.10743801652892500,0.0,0.776859504132231,0.11570247933884200,Buntopia
116,0.033333333333333,0.075,0.5666666666666660,0.325,Rabbithole Restaurant
117,0.08130081300813000,0.048780487804878,0.747967479674796,0.12195121951219500,Suzume
118,0.0390625,0.109375,0.5625,0.2890625,Sunshine
119,0.048387096774193000,0.13709677419354800,0.508064516129032,0.30645161290322500,Saraghina
120,0.102564102564102,0.188034188034188,0.35897435897435900,0.35042735042735,Sunrise/Sunset
121,0.057851239669421000,0.10743801652892500,0.5537190082644620,0.28099173553719000,Pilar Cuban Eatery
122,0.072727272727272,0.027272727272727,0.69090909090909,0.20909090909090900,Kafe Louverture
123,0.047244094488188000,0.05511811023622000,0.5748031496062990,0.32283464566929100,Beco
124,0.11450381679389300,0.206106870229007,0.419847328244274,0.259541984732824,Di Fara Pizza
125,0.032520325203252,0.073170731707317,0.5284552845528450,0.365853658536585,Grandchamps Kitchen & Market
126,0.088,0.07200000000000000,0.664,0.176,Dinosaur Bar-B-Que
127,0.021739130434782,0.021739130434782,0.58695652173913,0.36956521739130400,Tambour
128,0.008403361344537000,0.033613445378151,0.41176470588235200,0.546218487394957,Bunna Cafe
129,0.09016393442622900,0.04918032786885200,0.745901639344262,0.114754098360655,French Louie
130,0.035714285714285000,0.026785714285714000,0.6339285714285710,0.30357142857142800,Yia Yia's Taverna
131,0.08080808080808000,0.010101010101010000,0.7474747474747470,0.16161616161616100,High Lúa Vietnamese Kitchen
132,0.015625,0.03125,0.6875,0.265625,Traif
133,0.10483870967741900,0.07258064516129000,0.701612903225806,0.12096774193548300,Purbird
134,0.040322580645161000,0.12096774193548300,0.5,0.33870967741935400,Aita
135,0.041666666666666000,0.016666666666666,0.675,0.266666666666666,Yemen Cafe & Restaurant
136,0.024590163934426000,0.024590163934426000,0.696721311475409,0.25409836065573700,My Cuban Spot
137,0.04,0.07,0.65,0.24,Nostrand Cafe
138,0.023809523809523000,0.11111111111111100,0.658730158730158,0.206349206349206,Sofreh
139,0.0,0.09677419354838700,0.32258064516129000,0.5806451612903220,Maison Premiere
140,0.082644628099173,0.049586776859504,0.661157024793388,0.20661157024793300,Defontes
141,0.033333333333333,0.055555555555555000,0.677777777777777,0.23333333333333300,Haenyeo
142,0.047244094488188000,0.08661417322834600,0.708661417322834,0.157480314960629,Roll-N-Roaster
143,0.041322314049586,0.008264462809917,0.603305785123966,0.34710743801652800,Tabaré
144,0.13709677419354800,0.08870967741935400,0.604838709677419,0.16935483870967700,Bunker
145,0.041322314049586,0.11570247933884200,0.49586776859504100,0.34710743801652800,Atrium Dumbo
146,0.05511811023622000,0.05511811023622000,0.795275590551181,0.09448818897637700,David's Brisket House and Deli
147,0.036363636363636,0.09090909090909000,0.563636363636363,0.309090909090909,750 Myrtle Diner
148,0.041666666666666000,0.075,0.36666666666666600,0.516666666666666,Rustik Tavern
149,0.056910569105691000,0.073170731707317,0.6341463414634140,0.23577235772357700,Ugly Baby
150,0.096,0.07200000000000000,0.5680000000000000,0.264,The Gumbo Bros
151,0.043859649122807,0.13157894736842100,0.307017543859649,0.5175438596491220,Tree House
152,0.032786885245901,0.139344262295081,0.385245901639344,0.442622950819672,Risbo
153,0.049586776859504,0.09090909090909000,0.7107438016528920,0.148760330578512,Birds of a Feather
154,0.016260162601626,0.08130081300813000,0.593495934959349,0.30894308943089400,Two 8 Two Bar & Burger
155,0.034883720930232,0.0,0.744186046511627,0.220930232558139,Lagman House
156,0.024193548387096000,0.016129032258064000,0.5483870967741930,0.411290322580645,Blueprint
157,0.08661417322834600,0.05511811023622000,0.677165354330708,0.181102362204724,East Wind Snack Shop
158,0.08196721311475400,0.024590163934426000,0.778688524590163,0.114754098360655,Ramen Danbo
159,0.09090909090909000,0.049586776859504,0.7355371900826440,0.12396694214876000,Bedouin Tent
160,0.08130081300813000,0.073170731707317,0.48780487804878000,0.35772357723577200,De Hot Pot
161,0.082644628099173,0.10743801652892500,0.5702479338842970,0.239669421487603,The Good Fork
162,0.032,0.128,0.392,0.448,Sip Unwine
163,0.07563025210084000,0.050420168067226000,0.5882352941176470,0.28571428571428500,Pollo D' Oro
164,0.033333333333333,0.08333333333333300,0.6000000000000000,0.28333333333333300,Cheeseboat
165,0.024193548387096000,0.06451612903225800,0.48387096774193500,0.427419354838709,Lucali
166,0.058823529411764000,0.033613445378151,0.6974789915966380,0.21008403361344500,Chuan Tian Xia 川天下
167,0.20161290322580600,0.08064516129032200,0.491935483870967,0.22580645161290300,Peppa's Jerk Chicken Restaurant
168,0.024390243902439,0.040650406504065000,0.6829268292682920,0.252032520325203,Saigon Grill & Bar
169,0.05645161290322500,0.024193548387096000,0.669354838709677,0.25,Brooklyn Blend
170,0.057851239669421000,0.14049586776859500,0.231404958677685,0.5702479338842970,FREEHOLD
171,0.082644628099173,0.057851239669421000,0.5454545454545450,0.314049586776859,Aita Trattoria
172,0.032,0.08,0.47200000000000000,0.41600000000000000,Manchego Koko
173,0.076335877862595,0.038167938931297,0.694656488549618,0.190839694656488,L & B Spumoni Gardens
174,0.040322580645161000,0.10483870967741900,0.5483870967741930,0.30645161290322500,Atlas Steakhouse
175,0.024793388429752,0.074380165289256,0.5289256198347100,0.37190082644628100,Brooklyn Ice House
176,0.032786885245901,0.008196721311475000,0.6475409836065570,0.31147540983606500,Esme
177,0.016806722689075,0.025210084033613000,0.80672268907563,0.15126050420168000,L'industrie Pizzeria
178,0.022900763358778,0.06870229007633500,0.633587786259541,0.274809160305343,Parkside
179,0.010526315789473,0.105263157894736,0.47368421052631500,0.410526315789473,Honey Badger
180,0.08,0.048,0.776,0.096,The Wei
181,0.06451612903225800,0.024193548387096000,0.733870967741935,0.17741935483870900,Korzo
182,0.008130081300813,0.08130081300813000,0.414634146341463,0.49593495934959300,The River Café
183,0.057851239669421000,0.033057851239669,0.619834710743801,0.28925619834710700,Roberta's
184,0.10569105691056900,0.024390243902439,0.73170731707317,0.138211382113821,Liu's Shanghai
185,0.048,0.016,0.808,0.128,Brooklyn Beet Company
186,0.099173553719008,0.074380165289256,0.619834710743801,0.20661157024793300,Luke's Lobster Brooklyn Bridge Park
187,0.11458333333333300,0.0625,0.583333333333333,0.239583333333333,Zatar
188,0.09166666666666600,0.116666666666666,0.5083333333333330,0.28333333333333300,SSAM
189,0.056910569105691000,0.073170731707317,0.552845528455284,0.31707317073170700,Ix Restaurant
190,0.0,0.031007751937984000,0.620155038759689,0.34883720930232500,ZuriLee Restaurant
191,0.046511627906976,0.077519379844961,0.40310077519379800,0.472868217054263,The Douglass Public House
192,0.10569105691056900,0.11382113821138200,0.593495934959349,0.186991869918699,Brennan & Carr
193,0.016129032258064000,0.05645161290322500,0.6451612903225800,0.282258064516129,Le Barricou
194,0.016260162601626,0.040650406504065000,0.6504065040650400,0.292682926829268,Fob Brooklyn
195,0.033057851239669,0.0,0.760330578512396,0.20661157024793300,Karczma
196,0.049586776859504,0.074380165289256,0.586776859504132,0.28925619834710700,Tchoup Shop
197,0.056910569105691000,0.073170731707317,0.609756097560975,0.260162601626016,Cent'Anni
198,0.12096774193548300,0.07258064516129000,0.6129032258064510,0.19354838709677400,Purple Yam
199,0.09230769230769200,0.13076923076923,0.47692307692307600,0.30000000000000000,Toad Style
200,0.024193548387096000,0.06451612903225800,0.6532258064516120,0.25806451612903200,Pates Et Traditions
201,0.040983606557377000,0.10655737704918,0.27049180327868800,0.5819672131147540,Berg'n
202,0.024,0.07200000000000000,0.456,0.448,Verde On Smith
203,0.097560975609756,0.11382113821138200,0.6504065040650400,0.138211382113821,Gueros
204,0.07258064516129000,0.07258064516129000,0.693548387096774,0.16129032258064500,The Meatball Shop
205,0.073170731707317,0.073170731707317,0.552845528455284,0.30081300813008100,Selamat Pagi
206,0.07377049180327800,0.10655737704918,0.5819672131147540,0.237704918032786,Colonia Verde
207,0.023076923076923000,0.069230769230769,0.538461538461538,0.36923076923076900,Miti Miti
208,0.032258064516129000,0.06451612903225800,0.532258064516129,0.37096774193548300,Chez Oskar
209,0.017391304347826,0.060869565217391,0.6347826086956520,0.28695652173913,Newyorktitlan
210,0.032,0.064,0.632,0.272,Walter's
211,0.049586776859504,0.09090909090909000,0.611570247933884,0.24793388429752000,ICHIRAN - Brooklyn
212,0.126050420168067,0.100840336134453,0.647058823529411,0.126050420168067,Mimi's Hummus
213,0.048780487804878,0.048780487804878,0.7398373983739830,0.16260162601626000,Silver Rice
214,0.033333333333333,0.022222222222222,0.711111111111111,0.23333333333333300,Fat Doughnut
215,0.058823529411764000,0.025210084033613000,0.7310924369747890,0.18487394957983100,Don Chingon
216,0.022900763358778,0.038167938931297,0.633587786259541,0.305343511450381,Champs Diner
217,0.024193548387096000,0.024193548387096000,0.6854838709677410,0.266129032258064,Naked Dog
218,0.056,0.112,0.5760000000000000,0.256,Dar 525
219,0.15384615384615300,0.059829059829059000,0.752136752136752,0.034188034188034000,Xifu Food
220,0.065217391304347,0.05434782608695600,0.6847826086956520,0.19565217391304300,Tamra Teahouse
221,0.07692307692307600,0.046153846153846000,0.6692307692307690,0.207692307692307,Bricolage
222,0.087301587301587,0.087301587301587,0.69047619047619,0.134920634920634,Fette Sau
223,0.057377049180327,0.032786885245901,0.631147540983606,0.278688524590163,Maite
224,0.057851239669421000,0.157024793388429,0.41322314049586700,0.37190082644628100,Brooklyn Crab
225,0.04918032786885200,0.07377049180327800,0.48360655737704900,0.39344262295081900,Industry 1332
226,0.032,0.024,0.8160000000000000,0.128,Misi
227,0.047244094488188000,0.047244094488188000,0.5748031496062990,0.330708661417322,Pearl's
228,0.016528925619834,0.066115702479338,0.42148760330578500,0.49586776859504100,June
229,0.040983606557377000,0.04918032786885200,0.6557377049180320,0.25409836065573700,Parlay
230,0.055555555555555000,0.09523809523809500,0.5317460317460310,0.317460317460317,Jack the Horse Tavern
231,0.09701492537313400,0.037313432835820000,0.53731343283582,0.32835820895522300,East Harbor Seafood Palace
232,0.103174603174603,0.063492063492063,0.69047619047619,0.14285714285714200,Kimchi Grill
233,0.023255813953488,0.069767441860465,0.6976744186046510,0.20930232558139500,Werkstatt
234,0.033057851239669,0.033057851239669,0.42975206611570200,0.504132231404958,TØRST
235,0.07377049180327800,0.032786885245901,0.573770491803278,0.319672131147541,Cafe Argentino
236,0.07079646017699100,0.07079646017699100,0.654867256637168,0.203539823008849,MISC
